image_width,image_height,mean_hue,mean_saturation,mean_brightness,name,year,person
1080.0,531.0,0.2900200077330709,0.02671762536735173,0.701219257180448,vicarage-at-etten-1876,1876,0.0
738.0,1024.0,0.13347795713640728,0.2736500021778841,0.5897313718847973,honesty-in-a-vase-1885,1885,0.0
1773.0,1401.0,0.2401043286685945,0.5590135869485869,0.5230904589021657,field-with-poppies-1890(1),1890,0.0
1677.0,1506.0,0.11408105133909775,0.3491044076202932,0.8079597814540395,self-portrait-1886-1,1886,0.0
826.0,1022.0,0.14073002006145366,0.19676404153812546,0.7416546929893391,peasant-woman-gleaning-1885-1,1885,1.0
1024.0,827.0,0.14681218205599808,0.07244121186000099,0.8101920088999934,baby-in-a-carriage(1),1882,1.0
1024.0,816.0,0.12202441138315633,0.007490298800378751,0.4705947635449707,landscape-with-willows-and-sun-shining-through-the-clouds-1884,1884,1.0
652.0,1024.0,0.17554946250769632,0.205639826330943,0.5825250290396068,scheveningen-woman-sewing-2-1881,1881,1.0
1270.0,1024.0,0.19381383514618425,0.4451035105680029,0.52891362284333,farmhouse-with-two-figures-1890(1),1890,0.0
1024.0,1222.0,0.3063148137121217,0.4598404674573437,0.4002674335256813,the-roubine-du-roi-canal-with-washerwomen-1888,1888,1.0
1280.0,819.0,0.3522137624405777,0.06542901858911092,0.5821350276221596,street-in-saintes-maries-1888-1,1888,0.0
689.0,1024.0,0.9398718112094541,0.11797700980840516,0.4899163467319074,woman-sewing-1881,1881,1.0
1024.0,780.0,0.24894154523523784,0.4680185700616791,0.5050270383594143,mount-gaussier-with-the-mas-de-saint-paul-1889,1889,0.0
2321.0,2422.0,0.09314606270482127,0.6626195448841649,0.5252484503002185,man-stooping-with-stick-or-spade-1882,1882,1.0
655.0,1024.0,0.10588488199057132,0.09923824946739432,0.8548768019851074,three-studies-1890,1890,1.0
1024.0,734.0,0.13835027530279892,0.3211595471689633,0.3856958403039349,dunes-with-figures-1882(1),1882,0.0
1091.0,897.0,0.2763291471357068,0.2432563147835552,0.5833917094371736,29hidden-1-superjumbo,1889,0.0
619.0,1024.0,0.09961541992654324,0.2082237082141483,0.7388261501591753,peasant-woman-head-9,1885,1.0
598.0,1024.0,0.11634847296511862,0.2364867437187041,0.6154347787662307,peasant,1885,0.0
1280.0,979.0,0.2322743034079939,0.4936974888810712,0.6896245324610948,boy-cutting-grass-with-a-sickle-1881(1),1881,0.0
2129.0,2713.0,0.11631301380824105,0.4059234062224588,0.8428877563254921,seated-man-with-a-beard-1886-1,1886,1.0
1576.0,1888.0,0.3252633711198544,0.3555270473852255,0.4811031531041389,chestnut-trees-in-blossom-1890(1),1890,1.0
1024.0,763.0,0.1501604758354652,0.07764458970538425,0.5892649849504024,sketch-of-diggers-and-other-figures-1890,1890,0.0
1370.0,1756.0,0.10411720046600394,0.21716550496403594,0.8224219042654226,torso-of-venus-1887,1887,1.0
834.0,1024.0,0.4750670728355797,0.3278006079438277,0.3127016768937791,vase-with-carnations-1886-1,1886,0.0
790.0,1024.0,0.14683945589921882,0.09748503393157626,0.6781121536826755,sketch-of-a-left-hand-1886,1886,0.0
1256.0,1576.0,0.3012190110280189,0.2848892671427709,0.5560938727312839,vincent-willem-van-gogh-102-1,1889,0.0
1024.0,712.0,0.19417707181100405,0.044510743841370624,0.7023631779783546,sheet-with-two-groups-of-peasants-at-a-meal-1890,1890,1.0
1774.0,2216.0,0.12148961281835073,0.6495712583236549,0.2945852565178391,vase-with-carnations-1886,1886,0.0
2838.0,2287.0,0.17804983935014645,0.7135338452843306,0.7752918511691861,haystacks-in-provence-1888,1888,0.0
1231.0,1016.0,0.3740795441715639,0.6429010726531265,0.541243222440412,banks-of-the-seine-in-the-spring-1887(1),1887,0.0
1020.0,1024.0,0.08470301135057919,0.4235830207537607,0.7968823251573917,enclosed-field-with-ploughman-1889(1),1889,1.0
1333.0,1722.0,0.2523622872928524,0.5562432047602599,0.35512260930573936,madame-augustine-roulin-1889,1889,1.0
1997.0,1573.0,0.15336919155758713,0.6377633473033388,0.6314215923314068,the-night-cafe-1888,1888,0.0
1024.0,820.0,0.09754430787657796,0.23521523239888176,0.7588493469033959,two-trees,1889,0.0
1024.0,770.0,0.10651476458971004,0.15914257579476662,0.7189834548876372,garden-with-flowers-1888(1),1888,0.0
785.0,1024.0,0.1660397221838082,0.08537522182455162,0.6863572157565253,plaster-torso-of-a-woman-1886,1886,1.0
1069.0,775.0,0.3829603285646369,0.04089808293507933,0.5895386337642574,behind-the-hedges-1884(1),1884,0.0
435.0,565.0,0.26045542795678106,0.14908977621114214,0.28045059545535234,head-of-a-peasant-woman-with-white-cap-1884(1),1884,1.0
1916.0,2372.0,0.3707176670701807,0.3588566659107633,0.6440915380822434,a-mousme-1888(1),1888,1.0
2628.0,2970.0,0.21385655044123653,0.617205149112128,0.4703422919116656,landscape-with-couple-walking-and-crescent-moon-1890(1),1890,0.0
1280.0,985.0,0.21065603118632711,0.5224579553782733,0.6537578568229322,olive-grove-with-picking-figures-1889,1889,0.0
1280.0,658.0,0.3296394887690179,0.3481729723849566,0.5054363341081112,daubigny-s-garden-1890-2(1),1890,0.0
2211.0,2727.0,0.3600160624181247,0.4663123476089308,0.5182454375245998,dr-paul-gachet-1890(1),1890,0.0
2024.0,1682.0,0.18680596844044295,0.5918368232627462,0.4762020393546544,landscape-with-three-trees-and-a-house-1890,1890,0.0
545.0,1024.0,0.33258122734611395,0.13494571655699275,0.4457920503350423,nude-woman-half-length-1882,1882,1.0
